item_id,product,target_audience,dimension,score_1_means,score_5_means,dimension_definition,concept,your_score_1_to_5
item_001,A premium running shoe with a carbon plate and a high-rebound foam midsole,Recreational runners training for their first half marathon,Emotional vs Rational,Emotional,Rational,"First-half-marathon runners can be sold on how the shoe makes them feel about themselves or on the concrete performance/outcome it delivers, and separately the story can center on becoming 'a runner' versus hitting a specific finish-line goal, and these two questions are independent of each other.","Some Runners Just Know Their Gear
Carbon-plated. High-rebound midsole foam. If you're the type who checks stack height and cushioning specs before you check the weather, this is the shoe built to your standard—because that's who you are.",
item_002,A consumer budgeting app that categorises spending automatically and nudges users toward savings goals,Young professionals in their twenties building financial habits for the first time,Product-led vs Life-led,Product-led,Life-led,"Ads can foreground the app's mechanics or the user's broader life story, and independently can position the audience's future self as an aspirational ideal or ground the message in relatable present-day struggle, giving four distinct storytelling strategies.","You've had the same 'I'll start saving Monday' since March
No shame, we've all said it. Some of us just needed something quietly moving money aside while we kept saying it.",
item_003,"A cross-team organizational update and operating-record product that keeps a searchable history of what every team decided, shipped and changed",Chiefs of Staff and BizOps leaders at companies of 200-2000 people,Forward-looking vs Backward-looking,Prevents future misalignment,Resolves past disputes,"Specific to this category: the same searchable history can be sold as a proactive coordination tool that stops future drift or as an arbiter that settles 'who decided what' after the fact, and separately the product can be positioned as something leaders actively monitor versus infrastructure that just needs to exist and be trusted, and these two questions are independent of each other.","Stop finding out about changes in the next meeting.
An always-watching control panel that surfaces every upcoming decision, dependency, and shift the moment it's logged—so you're never blindsided by what another team just changed.",
item_004,"A luxury island resort with private villas, a spa and a reef-diving programme",Affluent leisure travellers booking a once-a-year trip,Social Framing,Private Escape,Shared Indulgence,"This audience alternates between wanting to vanish from the world with a partner/family and wanting a rich, story-worthy experience to relive and share, and separately the resort can be sold on calm restoration or on vivid sensory adventure (diving, reef color) - these two questions are independent and together map distinct creative territories from 'silent private villa' to 'vivid shared reef spectacle'.","Vanish Together. Surface Astonished.
No crowds, no shared itineraries—just your family, a private guide, and a reef wall explosive with color found nowhere else on earth. The only witnesses to your best story are the people you love.",
item_005,"A developer observability platform unifying logs, metrics and distributed traces with per-service cost attribution",Platform and infrastructure engineers who own production reliability,Reactive vs Proactive,Reactive Firefighting,Proactive Prevention,"This product has two genuinely distinct value pillars specific to the brief -- collapsing fragmented telemetry into one view versus pinpointing per-service spend -- and each can be pitched either as a tool for surviving incidents in the moment or as a tool for preventing cost and reliability problems before they happen, a distinction unique to this observability-plus-FinOps positioning.","The Bill That Warns You Three Weeks Early
Our platform attributes spend to every service in real time and forecasts which ones will breach thresholds—giving your team a runway to optimize before the invoice lands. Prevention starts with knowing who's responsible.",
item_006,A consumer budgeting app that categorises spending automatically and nudges users toward savings goals,Young professionals in their twenties building financial habits for the first time,Product-led vs Life-led,Product-led,Life-led,"Ads can foreground the app's mechanics or the user's broader life story, and independently can position the audience's future self as an aspirational ideal or ground the message in relatable present-day struggle, giving four distinct storytelling strategies.","You're not bad with money. You just never learned this part.
Nobody sat you down and explained why the same salary disappears differently every month. This isn't about being disciplined - it's about finally seeing the pattern your parents never taught you to look for.",
item_007,"A developer observability platform unifying logs, metrics and distributed traces with per-service cost attribution",Platform and infrastructure engineers who own production reliability,Reactive vs Proactive,Reactive Firefighting,Proactive Prevention,"This product has two genuinely distinct value pillars specific to the brief -- collapsing fragmented telemetry into one view versus pinpointing per-service spend -- and each can be pitched either as a tool for surviving incidents in the moment or as a tool for preventing cost and reliability problems before they happen, a distinction unique to this observability-plus-FinOps positioning.","One map of your stack. Zero surprises at 3am.
When every service's health lives in a single correlated view, you spot the slow leak, the creeping latency, the silent retry storm — weeks before it pages anyone.",
item_008,A consumer budgeting app that categorises spending automatically and nudges users toward savings goals,Young professionals in their twenties building financial habits for the first time,Aspirational vs Relatable,Relatable,Aspirational,"Ads can foreground the app's mechanics or the user's broader life story, and independently can position the audience's future self as an aspirational ideal or ground the message in relatable present-day struggle, giving four distinct storytelling strategies.","The version of you who already has it together
She travels twice a year, never panics at checkout, and has a down payment fund growing quietly in the background. That's not luck. That's a life running on a system.",
item_009,A meal-delivery service shipping chef-designed dinners that reheat in under ten minutes,Busy families with two working parents and young children,Kid Involvement,Kids Occupied Elsewhere,Kids Part of the Ritual,"This is specific to the product and audience: the ten-minute reheat can be framed as removing cooking effort entirely or as freeing time to redirect toward other tasks, and this is independent of whether the ad shows children kept out of the way or actively included in the mealtime moment.","We cook. You catch up on the day that got away from you.
While the kids finish their show in the next room, dinner reheats itself in under ten minutes. Use the time to answer that email, fold the laundry pile, or just breathe.",
item_010,"A developer observability platform unifying logs, metrics and distributed traces with per-service cost attribution",Platform and infrastructure engineers who own production reliability,Playful vs Serious,Playful,Serious,"Platform engineers respond to both the visceral dread of 3am outages and the cold logic of system architecture, and separately can be reached through either dry technical gravity or knowing gallows humor about on-call life, so crossing how an ad feels emotionally with how it feels in register opens up distinct creative territories.","The Graph That Shows Finance and Engineering the Same Truth
Stop reconciling separate cost reports â one source of truth for spend and performance.",
item_011,"A cross-team organizational update and operating-record product that keeps a searchable history of what every team decided, shipped and changed",Chiefs of Staff and BizOps leaders at companies of 200-2000 people,Forward-looking vs Backward-looking,Prevents future misalignment,Resolves past disputes,"Specific to this category: the same searchable history can be sold as a proactive coordination tool that stops future drift or as an arbiter that settles 'who decided what' after the fact, and separately the product can be positioned as something leaders actively monitor versus infrastructure that just needs to exist and be trusted, and these two questions are independent of each other.","Who decided this? Now you have the receipt.
When the finger-pointing starts, pull up the exact decision, date, and owner in seconds. Every dispute ends with a search, not a meeting.",
item_012,A meal-delivery service shipping chef-designed dinners that reheat in under ten minutes,Busy families with two working parents and young children,Tone,Earnest,Playful,"Ads for time-pressed parents can lean into either a sincere or a light-hearted tone, and separately can center the emotional payoff on the parent's own relief versus the family's shared experience, giving four distinct emotional territories.","Congratulations, you survived another Tuesday.
Pop it in the microwave, pour yourself something cold, and let dinner be the one thing that doesn't require your input tonight. You've earned the bare minimum.",
item_013,A charitable fundraising campaign funding clean-water infrastructure in rural communities,Prospective individual donors who give occasionally but have no regular giving habit,Proof of Impact,Trust the Cause,Show the Data/Tracking,"Since the audience lacks a giving habit, this map isolates whether the ad tries to convert a single gift or seed recurring behavior, independent of whether it earns trust through emotional credibility or transparent, trackable proof of where money goes.","Give Once. Trust Us to Carry It the Rest of the Way.
You don't need spreadsheets or updates to know clean water matters. Make your one gift today, and trust the people on the ground to turn it into wells, pipes, and hope.",
item_014,A meal-delivery service shipping chef-designed dinners that reheat in under ten minutes,Busy families with two working parents and young children,Evidence Type,Sensory/Craft Proof,Functional/Speed Proof,"Whether the ad proves its promise through appetizing craft detail or through hard functional facts is independent of whether the credibility comes from the chef's expertise or from real families vouching for it, so this map separates 'what convinces' from 'who convinces'.","My husband and I ate a real dinner standing up, and it still tasted like a Sunday.
The kids were deep in a Lego build in the living room, so it was just us at the counter, forks in the same pan, tasting the char on the short rib like someone actually cooked it. That ten minutes didn't disappear — it became the first real conversation we'd had all day.",
item_015,A consumer budgeting app that categorises spending automatically and nudges users toward savings goals,Young professionals in their twenties building financial habits for the first time,Playful vs Serious register,Serious,Playful,"First-time budgeters respond to very different creative registers depending on whether the ad leads with feeling or logic, and separately whether it treats money with levity or gravity, and these two choices can combine independently (e.g. rational-but-playful vs emotional-but-serious).","Congrats, You Beat Your Rent Fund Villain
Every dodged impulse buy levels up your 'Emergency Fund' character in real time, complete with confetti and a tiny victory dance from your app mascot. Adulting has never felt this much like winning.",
item_016,A consumer budgeting app that categorises spending automatically and nudges users toward savings goals,Young professionals in their twenties building financial habits for the first time,Automation vs Agency,Automation does it for you,You're in control,"This is specific to a budgeting app's core value proposition: whether the pitch emphasizes the app's automatic categorization taking work off your hands versus empowering your own decision-making, and whether the underlying psychology sold is fear of loss/guilt or the pleasure of achieving savings goals, both of which are distinct product-truths that can be dialed independently.","It sorts your coffee habit while you sip it
Every transaction gets auto-filed into a category the second it clears. Watch your 'takeaway coffee' folder fill itself up, then watch your holiday fund fill up too, because the leftover math runs itself.",
item_017,A consumer budgeting app that categorises spending automatically and nudges users toward savings goals,Young professionals in their twenties building financial habits for the first time,Emotional vs Rational appeal,Rational,Emotional,"First-time budgeters respond to very different creative registers depending on whether the ad leads with feeling or logic, and separately whether it treats money with levity or gravity, and these two choices can combine independently (e.g. rational-but-playful vs emotional-but-serious).","The life you imagine starts as a number you protect
Every future you've pictured for yourself—the home, the freedom, the security—is built quietly, month by month. Let your money move toward that life without you having to fight for it.",
item_018,A dating app that limits users to a small number of curated matches per week to encourage real conversations,Single working professionals in their late twenties and thirties,Product-led vs Customer-led,Product-led,Customer-led,"Concepts can foreground the mechanism (curated weekly matches, the algorithm's discipline) or the human story of a user's dating life, and separately can center a single protagonist's journey or a broader social phenomenon among peers, giving four distinct storytelling strategies for the same core promise.","We asked hundreds of professionals what actually leads to a second date. Then we built around that.
Curated weekly matches, shaped by what real couples told us worked, not by what keeps you scrolling.",
